Date,open,predicted_2023
2023-09-18 04:00:00,176.48,176.84
2023-09-19 04:00:00,177.52,175.98
2023-09-20 04:00:00,179.26,175.94
2023-09-21 04:00:00,174.55,175.77
2023-09-22 04:00:00,174.67,175.37
2023-09-25 04:00:00,174.2,175.26
2023-09-26 04:00:00,174.82,175.36
2023-09-27 04:00:00,172.62,175.03
2023-09-28 04:00:00,169.34,174.49
2023-09-29 04:00:00,172.02,173.5
2023-10-02 04:00:00,171.22,172.45
2023-10-03 04:00:00,172.255,171.97
2023-10-04 04:00:00,171.09,171.69
2023-10-05 04:00:00,173.79,171.47
2023-10-06 04:00:00,173.8,171.37
2023-10-09 04:00:00,176.81,171.97
2023-10-10 04:00:00,178.1,172.95
2023-10-11 04:00:00,178.2,174.01
2023-10-12 04:00:00,180.07,175.12
2023-10-13 04:00:00,181.42,176.11
2023-10-16 04:00:00,176.75,177.15
2023-10-17 04:00:00,176.645,177.93
2023-10-18 04:00:00,175.58,178.36
2023-10-19 04:00:00,176.04,178.25
2023-10-20 04:00:00,175.31,177.79
2023-10-23 04:00:00,170.91,177.12
2023-10-24 04:00:00,173.05,176.14
2023-10-25 04:00:00,171.88,175.07
2023-10-26 04:00:00,170.37,174.09
2023-10-27 04:00:00,166.91,172.83
2023-10-30 04:00:00,169.02,171.65
2023-10-31 04:00:00,169.35,170.72
2023-11-01 04:00:00,171.0,169.98
2023-11-02 04:00:00,175.52,169.81
2023-11-03 04:00:00,174.24,170.11
2023-11-06 05:00:00,176.38,170.66
2023-11-07 05:00:00,179.18,171.77
2023-11-08 05:00:00,182.35,173.58
2023-11-09 05:00:00,182.96,175.47
2023-11-10 05:00:00,183.97,177.21
2023-11-13 05:00:00,185.82,179.15
2023-11-14 05:00:00,187.7,180.75
2023-11-15 05:00:00,187.845,182.12
2023-11-16 05:00:00,189.57,183.71
2023-11-17 05:00:00,190.25,185.14
2023-11-20 05:00:00,189.89,186.34
2023-11-21 05:00:00,191.41,187.58
2023-11-22 05:00:00,191.49,188.89
2023-11-24 05:00:00,190.87,189.73
2023-11-27 05:00:00,189.92,190.68
2023-11-28 05:00:00,189.78,191.16
2023-11-29 05:00:00,190.9,191.5
2023-11-30 05:00:00,189.84,191.51
2023-12-01 05:00:00,190.33,191.48
2023-12-04 05:00:00,189.98,191.3
2023-12-05 05:00:00,190.21,191.18
2023-12-06 05:00:00,194.45,191.24
2023-12-07 05:00:00,193.63,191.58
2023-12-08 05:00:00,194.2,192.14
2023-12-11 05:00:00,193.11,192.85
2023-12-12 05:00:00,193.08,193.68
2023-12-13 05:00:00,195.09,194.47
2023-12-14 05:00:00,198.02,195.32
2023-12-15 05:00:00,197.53,196.54
2023-12-18 05:00:00,196.09,197.27
2023-12-19 05:00:00,196.16,198.06
2023-12-20 05:00:00,196.9,198.57
2023-12-21 05:00:00,196.1,198.73
2023-12-22 05:00:00,195.18,199.08
2023-12-26 05:00:00,193.61,198.94
2023-12-27 05:00:00,192.49,198.18
2023-12-28 05:00:00,194.14,197.33
2023-12-29 05:00:00,193.9,196.58
