Date,open,predicted
2023-09-19 04:00:00,177.52,177.54
2023-09-20 04:00:00,179.26,176.8
2023-09-21 04:00:00,174.55,176.45
2023-09-22 04:00:00,174.67,176.25
2023-09-25 04:00:00,174.2,176.0
2023-09-26 04:00:00,174.82,175.75
2023-09-27 04:00:00,172.62,175.5
2023-09-28 04:00:00,169.34,175.15
2023-09-29 04:00:00,172.02,174.63
2023-10-02 04:00:00,171.22,174.14
2023-10-03 04:00:00,172.255,173.66
2023-10-04 04:00:00,171.09,173.22
2023-10-05 04:00:00,173.79,173.07
2023-10-06 04:00:00,173.8,173.13
2023-10-09 04:00:00,176.81,173.37
2023-10-10 04:00:00,178.1,173.76
2023-10-11 04:00:00,178.2,174.42
2023-10-12 04:00:00,180.07,175.23
2023-10-13 04:00:00,181.42,176.07
2023-10-16 04:00:00,176.75,176.8
2023-10-17 04:00:00,176.645,177.3
2023-10-18 04:00:00,175.58,177.71
2023-10-19 04:00:00,176.04,177.85
2023-10-20 04:00:00,175.31,177.77
2023-10-23 04:00:00,170.91,177.34
2023-10-24 04:00:00,173.05,176.74
2023-10-25 04:00:00,171.88,176.16
2023-10-26 04:00:00,170.37,175.41
2023-10-27 04:00:00,166.91,174.41
2023-10-30 04:00:00,169.02,173.48
2023-10-31 04:00:00,169.35,172.68
2023-11-01 04:00:00,171.0,172.11
2023-11-02 04:00:00,175.52,171.87
2023-11-03 04:00:00,174.24,172.02
2023-11-06 05:00:00,176.38,172.45
2023-11-07 05:00:00,179.18,173.1
2023-11-08 05:00:00,182.35,173.97
2023-11-09 05:00:00,182.96,175.12
2023-11-10 05:00:00,183.97,176.48
2023-11-13 05:00:00,185.82,177.92
2023-11-14 05:00:00,187.7,179.23
2023-11-15 05:00:00,187.845,180.58
2023-11-16 05:00:00,189.57,181.79
2023-11-17 05:00:00,190.25,182.9
2023-11-20 05:00:00,189.89,184.07
2023-11-21 05:00:00,191.41,185.16
2023-11-22 05:00:00,191.49,186.07
2023-11-24 05:00:00,190.87,186.91
2023-11-27 05:00:00,189.92,187.67
2023-11-28 05:00:00,189.78,188.07
2023-11-29 05:00:00,190.9,188.52
2023-11-30 05:00:00,189.84,188.7
2023-12-01 05:00:00,190.33,188.8
2023-12-04 05:00:00,189.98,188.85
2023-12-05 05:00:00,190.21,188.83
2023-12-06 05:00:00,194.45,188.9
2023-12-07 05:00:00,193.63,189.08
2023-12-08 05:00:00,194.2,189.39
2023-12-11 05:00:00,193.11,189.94
2023-12-12 05:00:00,193.08,190.46
2023-12-13 05:00:00,195.09,190.97
2023-12-14 05:00:00,198.02,191.72
2023-12-15 05:00:00,197.53,192.53
2023-12-18 05:00:00,196.09,193.27
2023-12-19 05:00:00,196.16,194.01
2023-12-20 05:00:00,196.9,194.44
2023-12-21 05:00:00,196.1,194.78
2023-12-22 05:00:00,195.18,194.85
2023-12-26 05:00:00,193.61,194.69
2023-12-27 05:00:00,192.49,194.56
2023-12-28 05:00:00,194.14,194.23
2023-12-29 05:00:00,193.9,193.68
2024-01-02 05:00:00,187.15,193.11
2024-01-03 05:00:00,184.22,192.2
2024-01-04 05:00:00,182.15,191.1
2024-01-05 05:00:00,181.99,189.65
2024-01-08 05:00:00,182.085,188.16
2024-01-09 05:00:00,183.92,186.86
2024-01-10 05:00:00,184.35,185.78
2024-01-11 05:00:00,186.54,184.96
2024-01-12 05:00:00,186.06,184.28
2024-01-16 05:00:00,182.16,183.76
2024-01-17 05:00:00,181.27,183.32
2024-01-18 05:00:00,186.09,183.22
2024-01-19 05:00:00,189.33,183.45
2024-01-22 05:00:00,192.3,184.1
2024-01-23 05:00:00,195.02,185.07
2024-01-24 05:00:00,195.42,186.04
2024-01-25 05:00:00,195.22,187.14
2024-01-26 05:00:00,194.27,188.19
2024-01-29 05:00:00,192.01,189.16
2024-01-30 05:00:00,190.94,189.95
2024-01-31 05:00:00,187.04,190.5
2024-02-01 05:00:00,183.985,190.6
2024-02-02 05:00:00,179.86,190.11
2024-02-05 05:00:00,188.15,189.28
2024-02-06 05:00:00,186.86,188.38
2024-02-07 05:00:00,190.64,187.6
2024-02-08 05:00:00,189.385,187.07
2024-02-09 05:00:00,188.65,186.65
2024-02-12 05:00:00,188.415,186.46
2024-02-13 05:00:00,185.77,186.29
2024-02-14 05:00:00,185.32,186.21
2024-02-15 05:00:00,183.55,186.16
2024-02-16 05:00:00,183.42,185.81
2024-02-20 05:00:00,181.79,185.36
2024-02-21 05:00:00,181.94,184.66
2024-02-22 05:00:00,183.48,183.88
2024-02-23 05:00:00,185.01,183.26
2024-02-26 05:00:00,182.24,182.74
2024-02-27 05:00:00,181.1,182.17
2024-02-28 05:00:00,182.51,181.8
2024-02-29 05:00:00,181.27,181.53
2024-03-01 05:00:00,179.55,181.28
2024-03-04 05:00:00,176.15,180.97
2024-03-05 05:00:00,170.76,180.45
2024-03-06 05:00:00,171.06,179.54
2024-03-07 05:00:00,169.15,178.28
2024-03-08 05:00:00,169.0,176.81
2024-03-11 04:00:00,172.94,175.52
2024-03-12 04:00:00,173.15,174.52
2024-03-13 04:00:00,172.77,173.69
2024-03-14 04:00:00,172.91,173.01
2024-03-15 04:00:00,171.17,172.55
2024-03-18 04:00:00,175.57,172.27
2024-03-19 04:00:00,174.34,172.32
2024-03-20 04:00:00,175.72,172.75
2024-03-21 04:00:00,177.05,173.41
2024-03-22 04:00:00,171.76,173.81
2024-03-25 04:00:00,170.565,173.97
2024-03-26 04:00:00,170.0,173.87
2024-03-27 04:00:00,170.41,173.59
2024-03-28 04:00:00,171.75,173.5
2024-04-01 04:00:00,171.19,173.29
2024-04-02 04:00:00,169.08,173.03
