Date,open,high,low,close,volume
2024-02-27 05:00:00,181.1,183.9225,179.56,182.63,54318851.0
2024-02-28 05:00:00,182.51,183.12,180.13,181.42,48943139.0
2024-02-29 05:00:00,181.27,182.57,179.53,180.75,136682597.0
2024-03-01 05:00:00,179.55,180.53,177.38,179.66,73450582.0
2024-03-04 05:00:00,176.15,176.9,173.79,175.1,81505451.0
2024-03-05 05:00:00,170.76,172.04,169.62,170.12,94702355.0
2024-03-06 05:00:00,171.06,171.24,168.68,169.12,68568907.0
2024-03-07 05:00:00,169.15,170.73,168.49,169.0,71763761.0
2024-03-08 05:00:00,169.0,173.7,168.94,170.73,76267041.0
2024-03-11 04:00:00,172.94,174.38,172.05,172.75,60139473.0
2024-03-12 04:00:00,173.15,174.03,171.01,173.23,59813522.0
2024-03-13 04:00:00,172.77,173.185,170.76,171.13,52488692.0
2024-03-14 04:00:00,172.91,174.3078,172.05,173.0,72913507.0
2024-03-15 04:00:00,171.17,172.62,170.285,172.62,121752699.0
2024-03-18 04:00:00,175.57,177.71,173.52,173.72,75606556.0
2024-03-19 04:00:00,174.34,176.605,173.03,176.08,55215244.0
2024-03-20 04:00:00,175.72,178.67,175.09,178.67,53423102.0
2024-03-21 04:00:00,177.05,177.49,170.84,171.37,106181270.0
2024-03-22 04:00:00,171.76,173.05,170.06,172.28,71146138.0
2024-03-25 04:00:00,170.565,171.94,169.45,170.85,54288328.0
2024-03-26 04:00:00,170.0,171.42,169.58,169.71,57388449.0
2024-03-27 04:00:00,170.41,173.6,170.11,173.31,60263665.0
2024-03-28 04:00:00,171.75,172.23,170.51,171.48,65671690.0
2024-04-01 04:00:00,171.19,171.25,169.475,170.03,46240500.0
2024-04-02 04:00:00,169.08,169.34,168.2302,168.84,49297581.0
2024-04-03 04:00:00,168.79,170.68,168.58,169.65,47691715.0
2024-04-04 04:00:00,170.29,171.92,168.82,168.82,53682486.0
2024-04-05 04:00:00,169.59,170.39,168.95,169.58,42104826.0
2024-04-08 04:00:00,169.03,169.2,168.24,168.45,37425513.0
2024-04-09 04:00:00,168.7,170.08,168.35,169.67,42451209.0
2024-04-10 04:00:00,168.8,169.09,167.11,167.78,49691936.0
2024-04-11 04:00:00,168.34,175.46,168.16,175.04,91053075.0
2024-04-12 04:00:00,174.26,178.36,174.21,176.55,101282386.0
2024-04-15 04:00:00,175.36,176.63,172.5,172.69,70733115.0
2024-04-16 04:00:00,171.75,173.76,168.27,169.38,71583932.0
2024-04-17 04:00:00,169.61,170.65,168.0,168.0,48503680.0
2024-04-18 04:00:00,168.03,168.64,166.55,167.04,40735511.0
2024-04-19 04:00:00,166.21,166.4,164.075,165.0,66084170.0
2024-04-22 04:00:00,165.515,167.26,164.77,165.84,46488244.0
2024-04-23 04:00:00,165.35,167.05,164.92,166.9,46956672.0
2024-04-24 04:00:00,166.54,169.3,166.21,169.02,47007455.0
2024-04-25 04:00:00,169.525,170.61,168.1511,169.89,48858902.0
2024-04-26 04:00:00,169.88,171.34,169.18,169.3,44014087.0
2024-04-29 04:00:00,173.37,176.03,173.1,173.5,66891905.0
2024-04-30 04:00:00,173.33,174.99,170.0,170.33,64066593.0
2024-05-01 04:00:00,169.58,172.705,169.11,169.3,48416441.0
